Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Crohn Disease,C0010346,SLC11A1,6556,P49279,solute carrier family 11 member 1,Transporter,141,0.525,0.846,1.55E-19,0.4,,0.75,12,1,1997,2019
Crohn Disease,C0010346,SLC22A5,6584,O76082,solute carrier family 22 member 5,Transporter,103,0.608,0.731,5.27E-16,0.4,,0.912,34,3,2003,2016
Crohn Disease,C0010346,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.4,,0.95,281,5,1996,2020
Crohn Disease,C0010346,LEP,3952,P41159,leptin,,931,0.349,0.846,0.46491,0.38,,1,8,0,2006,2019
Crohn Disease,C0010346,IGF1,3479,P05019,insulin like growth factor 1,,1206,0.318,0.885,0.2716,0.37,,1,7,0,2001,2018
Crohn Disease,C0010346,TLR9,54106,Q9NR96,toll like receptor 9,,457,0.411,0.885,9.81E-06,0.37,,1,8,3,2004,2018
Crohn Disease,C0010346,CCL2,6347,P13500,C-C motif chemokine ligand 2,Signaling,1157,0.321,0.962,0.60786,0.36,,1,7,0,1995,2016
Crohn Disease,C0010346,MTHFR,4524,P42898,methylenetetrahydrofolate reductase,,985,0.337,0.885,3.21E-10,0.34,,1,4,1,2007,2016
Crohn Disease,C0010346,FN1,2335,P02751,fibronectin 1,Signaling,724,0.365,0.962,0.0014045,0.33,,1,4,0,2007,2010
Crohn Disease,C0010346,FAM92B,339145,Q6ZTR7,family with sequence similarity 92 member B,,6,0.839,0.038,4.77E-10,0.33,,0.5,4,0,2007,2012
Crohn Disease,C0010346,MUC2,4583,Q02817,"mucin 2, oligomeric mucus/gel-forming",Enzyme modulator,225,0.486,0.808,9.43E-10,0.33,,1,3,1,1999,2006
Crohn Disease,C0010346,PHOX2B,8929,Q99453,paired like homeobox 2B,,128,0.565,0.731,0.93755,0.33,,1,4,0,2007,2011
Crohn Disease,C0010346,ADIPOQ,9370,Q15848,"adiponectin, C1Q and collagen domain containing",,679,0.376,0.885,4.64E-09,0.33,,1,4,0,2006,2018
Crohn Disease,C0010346,TAGAP,117289,Q8N103,T cell activation RhoGTPase activating protein,Enzyme modulator,24,0.7,0.462,0.84621,0.32,,1,3,0,2010,2014
Crohn Disease,C0010346,FPR2,2358,P25090,formyl peptide receptor 2,G-protein coupled receptor,124,0.547,0.769,0.40137,0.31,,1,1,0,2011,2011
Crohn Disease,C0010346,TCF7,6932,P36402,transcription factor 7,,108,0.556,0.654,0.0053732,0.31,,1,1,0,2014,2014
Crohn Disease,C0010346,GPBAR1,151306,Q8TDU6,G protein-coupled bile acid receptor 1,G-protein coupled receptor,122,0.548,0.731,1.36E-09,0.3,,1,1,0,2013,2013
Crohn Disease,C0010346,PPARA,5465,Q07869,peroxisome proliferator activated receptor alpha,Nuclear receptor,408,0.432,0.885,0.030182,0.3,,1,1,0,2011,2011
Crohn Disease,C0010346,VTN,7448,P04004,vitronectin,,178,0.509,0.769,1.50E-10,0.3,,1,1,0,2010,2010
Crohn Disease,C0010346,NR1H4,9971,Q96RI1,nuclear receptor subfamily 1 group H member 4,Nuclear receptor,187,0.513,0.808,0.00093892,0.3,,1,1,0,2011,2011
Crohn Disease,C0010346,PTPN22,26191,Q9Y2R2,protein tyrosine phosphatase non-receptor type 22,,400,0.438,0.846,3.49E-21,0.2,,0.8,20,2,2005,2018
Crohn Disease,C0010346,NFKB1,4790,P19838,nuclear factor kappa B subunit 1,Transcription factor,551,0.396,0.923,1,0.2,,1,12,3,1998,2018
Crohn Disease,C0010346,TNFRSF1A,7132,P19438,TNF receptor superfamily member 1A,,487,0.409,0.923,0.9949,0.2,,1,11,2,2002,2019
Crohn Disease,C0010346,TNFSF15,9966,O95150,TNF superfamily member 15,Signaling,143,0.531,0.692,0.0028159,0.2,,0.979,47,10,2003,2019
Crohn Disease,C0010346,CD40,958,P25942,CD40 molecule,,528,0.396,0.846,0.84603,0.19,,0.9,10,1,1998,2017
Crohn Disease,C0010346,LACC1,144811,Q8IV20,laccase domain containing 1,,35,0.7,0.423,0.000011655,0.17,,1,11,2,2008,2018
Crohn Disease,C0010346,IL27,246778,Q8NEV9,interleukin 27,,286,0.457,0.808,0.78232,0.17,,1,10,3,2005,2019
Crohn Disease,C0010346,HLA-B,3106,P01889,"major histocompatibility complex, class I, B",,706,0.379,0.885,0.000038642,0.17,,1,9,3,2001,2017
Crohn Disease,C0010346,ZNF365,22891,Q70YC4;Q70YC5,zinc finger protein 365,,60,0.641,0.654,0.00046761,0.16,,1,8,3,2010,2016
Crohn Disease,C0010346,STAT4,6775,Q14765,signal transducer and activator of transcription 4,Nucleic acid binding,316,0.471,0.769,0.7662,0.16,,0.857,7,5,2008,2015
Crohn Disease,C0010346,NOS2,4843,P35228,nitric oxide synthase 2,,783,0.364,0.923,4.03E-15,0.15,,1,6,2,1997,2016
Crohn Disease,C0010346,NUDT15,55270,Q9NV35,nudix hydrolase 15,,33,0.67,0.538,0.0016748,0.15,,1,6,1,2014,2018
Crohn Disease,C0010346,TNFAIP3,7128,P21580,TNF alpha induced protein 3,Enzyme,212,0.481,0.808,0.99972,0.15,,1,6,2,2010,2020
Crohn Disease,C0010346,TNFRSF6B,8771,O95407,TNF receptor superfamily member 6b,,145,0.528,0.731,0.000003874,0.15,,1,7,2,2009,2017
Crohn Disease,C0010346,AHR,196,P35869,aryl hydrocarbon receptor,Transcription factor,532,0.41,0.923,0.99999,0.14,,1,5,5,2016,2019
Crohn Disease,C0010346,FOXO3,2309,O43524,forkhead box O3,,381,0.431,0.808,0.98806,0.14,,0.8,5,2,2013,2017
Crohn Disease,C0010346,CARD9,64170,Q9H257,caspase recruitment domain family member 9,,103,0.566,0.654,8.15E-13,0.14,,1,9,5,2008,2019
Crohn Disease,C0010346,ATG16L2,89849,Q8NAA4,autophagy related 16 like 2,,12,0.769,0.462,4.69E-16,0.14,,1,4,1,2014,2019
Crohn Disease,C0010346,SP140,11262,Q13342,SP140 nuclear body protein,,32,0.691,0.577,5.00E-08,0.13,,0.875,8,4,2010,2018
Crohn Disease,C0010346,CYLD,1540,Q9NQC7,CYLD lysine 63 deubiquitinase,Enzyme,211,0.498,0.846,0.99993,0.13,,1,4,7,2007,2019
Crohn Disease,C0010346,MUC19,283463,Q7Z5P9,"mucin 19, oligomeric",,16,0.736,0.615,6.22E-32,0.13,,1,4,4,2010,2018
Crohn Disease,C0010346,IL19,29949,Q9UHD0,interleukin 19,,103,0.558,0.769,0.00004325,0.13,,1,4,6,2012,2016
Crohn Disease,C0010346,PER3,8863,P56645,period circadian regulator 3,Transcription factor,122,0.559,0.731,1.37E-17,0.13,,1,4,1,2010,2016
Crohn Disease,C0010346,MAP3K8,1326,P41279,mitogen-activated protein kinase kinase kinase 8,Kinase,168,0.516,0.846,0.96825,0.12,,1,4,1,2012,2017
Crohn Disease,C0010346,FCGR2A,2212,P12318,Fc fragment of IgG receptor IIa,Cell adhesion,227,0.48,0.769,2.01E-06,0.12,,1,3,2,2010,2016
Crohn Disease,C0010346,HLA-DQB1,3119,P01920,"major histocompatibility complex, class II, DQ beta 1",Immune response,504,0.407,0.885,0.0089259,0.12,,1,3,1,1996,2013
Crohn Disease,C0010346,IFNGR2,3460,P38484,interferon gamma receptor 2,Receptor,71,0.597,0.577,0.95281,0.12,,1,6,3,2012,2018
Crohn Disease,C0010346,IL1R1,3554,P14778,interleukin 1 receptor type 1,Receptor,184,0.509,0.769,0.15126,0.12,,1,3,1,1999,2018
Crohn Disease,C0010346,IL6R,3570,P08887,interleukin 6 receptor,Signaling,261,0.471,0.846,0.000031681,0.12,,1,3,3,2014,2018
Crohn Disease,C0010346,MLN,4295,P12872,motilin,,46,0.656,0.577,0.0041058,0.12,,1,3,1,1998,2014
Crohn Disease,C0010346,POU5F1,5460,Q01860,POU class 5 homeobox 1,,328,0.441,0.846,0.95371,0.12,,1,3,1,2012,2015
Crohn Disease,C0010346,ITLN1,55600,Q8WWA0,intelectin 1,,45,0.656,0.577,3.41E-06,0.12,,1,3,3,2005,2013
Crohn Disease,C0010346,BTNL2,56244,Q9UIR0,butyrophilin like 2,Enzyme modulator,145,0.546,0.808,8.56E-11,0.12,,0.667,3,2,2007,2014
Crohn Disease,C0010346,PSMB9,5698,P28065,proteasome 20S subunit beta 9,,167,0.514,0.808,0.0027499,0.12,,1,3,1,2006,2013
Crohn Disease,C0010346,ZMIZ1,57178,Q9ULJ6,zinc finger MIZ-type containing 1,,96,0.588,0.615,0.99937,0.12,,1,8,6,2010,2017
Crohn Disease,C0010346,UBE2L3,7332,P68036,ubiquitin conjugating enzyme E2 L3,Enzyme,56,0.644,0.615,0.83844,0.12,,1,6,4,2010,2017
Crohn Disease,C0010346,IL18RAP,8807,O95256,interleukin 18 receptor accessory protein,Receptor,41,0.674,0.577,0.0021796,0.12,,1,4,2,2008,2015
Crohn Disease,C0010346,ATG5,9474,Q9H1Y0,autophagy related 5,Transporter,282,0.462,0.885,0.97758,0.12,,1,3,1,2014,2016
Crohn Disease,C0010346,CDH13,1012,P55290,cadherin 13,,205,0.501,0.846,0.0007058,0.11,,1,2,1,2006,2017
Crohn Disease,C0010346,TRAP1,10131,Q12931,TNF receptor associated protein 1,Chaperone,90,0.59,0.615,1.60E-29,0.11,,1,1,1,2019,2019
Crohn Disease,C0010346,CD96,10225,P40200,CD96 molecule,,109,0.592,0.692,1.39E-11,0.11,,1,1,1,2019,2019
Crohn Disease,C0010346,SNX20,124460,Q7Z614,sorting nexin 20,,4,0.89,0.077,0.000012791,0.11,,1,3,3,2007,2017
Crohn Disease,C0010346,ZPBP2,124626,Q6X784,zona pellucida binding protein 2,,20,0.729,0.308,1.22E-08,0.11,,1,2,1,2015,2016
Crohn Disease,C0010346,PUS10,150962,Q3MIT2,pseudouridine synthase 10,,17,0.736,0.346,7.88E-14,0.11,,1,7,4,2008,2017
Crohn Disease,C0010346,EPHB4,2050,P54760,EPH receptor B4,Kinase,157,0.524,0.692,0.013497,0.11,,1,2,1,2015,2019
Crohn Disease,C0010346,ERN1,2081,O75460,endoplasmic reticulum to nucleus signaling 1,Kinase,163,0.513,0.808,0.99027,0.11,,1,2,1,2016,2017
Crohn Disease,C0010346,ETS1,2113,P14921,"ETS proto-oncogene 1, transcription factor",Transcription factor,327,0.444,0.731,0.7816,0.11,,1,2,2,2013,2016
Crohn Disease,C0010346,KIF21B,23046,O75037,kinesin family member 21B,Cellular structure,10,0.805,0.192,1.77E-06,0.11,,1,2,1,2008,2015
Crohn Disease,C0010346,CLEC16A,23274,Q2KHT3,C-type lectin domain containing 16A,,67,0.612,0.654,0.27595,0.11,,1,2,2,2010,2016
Crohn Disease,C0010346,NR5A2,2494,O00482,nuclear receptor subfamily 5 group A member 2,Nuclear receptor,116,0.563,0.731,0.23807,0.11,,1,2,1,2007,2016
Crohn Disease,C0010346,GCKR,2646,Q14397,glucokinase regulator,,136,0.604,0.615,8.54E-19,0.11,,1,6,3,2008,2017
Crohn Disease,C0010346,GPR35,2859,Q9HC97,G protein-coupled receptor 35,G-protein coupled receptor,102,0.587,0.654,0.0049273,0.11,,1,3,3,2015,2016
Crohn Disease,C0010346,HGFAC,3083,Q04756,HGF activator,Enzyme,67,0.628,0.462,1.98E-08,0.11,,1,2,1,2015,2017
Crohn Disease,C0010346,IRF6,3664,O14896,interferon regulatory factor 6,Transcription factor,233,0.486,0.769,0.99961,0.11,,1,2,1,2003,2017
Crohn Disease,C0010346,ITGAL,3683,P20701,integrin subunit alpha L,,169,0.511,0.885,0.0043213,0.11,,1,2,1,2002,2016
Crohn Disease,C0010346,ERAP1,51752,Q9NZ08,endoplasmic reticulum aminopeptidase 1,Enzyme,156,0.556,0.692,2.06E-26,0.11,,1,2,9,2012,2016
Crohn Disease,C0010346,PLA2G4A,5321,P47712,phospholipase A2 group IVA,Enzyme,202,0.496,0.846,0.000059817,0.11,,1,2,1,1995,2015
Crohn Disease,C0010346,PRKCB,5579,P05771,protein kinase C beta,Kinase,317,0.453,0.885,1,0.11,,1,2,1,2016,2016
Crohn Disease,C0010346,PRKCQ,5588,Q04759,protein kinase C theta,Kinase,53,0.636,0.654,0.2972,0.11,,1,2,1,2016,2019
Crohn Disease,C0010346,PRDM1,639,O75626,PR/SET domain 1,,126,0.538,0.731,0.9565,0.11,,1,2,2,2013,2016
Crohn Disease,C0010346,TAP1,6890,Q03518,"transporter 1, ATP binding cassette subfamily B member",Transporter,181,0.5,0.808,5.34E-06,0.11,,1,2,1,2013,2019
Crohn Disease,C0010346,RSPO3,84870,Q9BXY4,R-spondin 3,,64,0.653,0.423,0.089252,0.11,,1,4,2,2012,2017
Crohn Disease,C0010346,TNFRSF14,8764,Q92956,TNF receptor superfamily member 14,,100,0.568,0.731,0.80752,0.11,,1,2,1,2011,2016
Crohn Disease,C0010346,BSN,8927,Q9UPA5,bassoon presynaptic cytomatrix protein,,20,0.769,0.308,1,0.11,,1,6,8,2007,2016
Crohn Disease,C0010346,P4HA2,8974,O15460,prolyl 4-hydroxylase subunit alpha 2,,50,0.653,0.577,1.97E-06,0.11,,1,2,2,2007,2007
Crohn Disease,C0010346,PSTPIP1,9051,O43586,proline-serine-threonine phosphatase interacting protein 1,Cellular structure,54,0.65,0.577,2.46E-06,0.11,,1,1,0,2010,2010
Crohn Disease,C0010346,IL1RL1,9173,Q01638,interleukin 1 receptor like 1,Receptor,117,0.547,0.731,1.44E-12,0.11,,1,2,1,2010,2017
Crohn Disease,C0010346,ZNF300,91975,Q96RE9,zinc finger protein 300,,16,0.76,0.115,0.000011172,0.11,,1,3,1,2010,2017
Crohn Disease,C0010346,CD6,923,P30203,CD6 molecule,Enzyme,216,0.489,0.808,0.000092695,0.11,,1,3,1,2007,2016
Crohn Disease,C0010346,FADS2,9415,O95864,fatty acid desaturase 2,,140,0.575,0.692,0.99815,0.11,,1,2,2,2014,2017
Crohn Disease,C0010346,FCHSD2,9873,O94868,FCH and double SH3 domains 2,,20,0.743,0.346,0.56618,0.11,,1,2,1,2013,2014
Crohn Disease,C0010346,PSORS1C3,100130889,,psoriasis susceptibility 1 candidate 3,,16,0.769,0.269,,0.1,,1,1,1,2013,2013
Crohn Disease,C0010346,SPATA48,100130988,A4D263,spermatogenesis associated 48,,13,0.76,0.231,3.77E-08,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,SH2B3,10019,Q9UQQ2,SH2B adaptor protein 3,,212,0.527,0.692,0.00010289,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,RTEL1-TNFRSF6B,100533107,,RTEL1-TNFRSF6B readthrough (NMD candidate),,32,0.682,0.385,,0.1,,1,3,2,2008,2017
Crohn Disease,C0010346,SCAMP3,10067,O14828,secretory carrier membrane protein 3,Enzyme,6,0.89,0.077,0.0021904,0.1,,1,2,2,2010,2017
Crohn Disease,C0010346,IFNG-AS1,100885789,,IFNG antisense RNA 1,,33,0.659,0.654,,0.1,,1,1,3,2016,2016
Crohn Disease,C0010346,RASGRP1,10125,O95267,RAS guanyl releasing protein 1,Enzyme modulator,110,0.572,0.731,0.96554,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,CRTC3-AS1,101926895,,CRTC3 antisense RNA 1,,13,0.792,0.077,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,LINC01475,101927324,,long intergenic non-protein coding RNA 1475,,14,0.78,0.077,,0.1,,1,2,4,2007,2007
Crohn Disease,C0010346,LINC01250,101927554,,long intergenic non-protein coding RNA 1250,,14,0.743,0.231,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,LINC00824,101927774,,long intergenic non-protein coding RNA 824,,24,0.695,0.346,,0.1,,1,5,1,2010,2017
Crohn Disease,C0010346,LINC01147,101928791,,long intergenic non-protein coding RNA 1147,,6,0.821,0.192,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,TSBP1-AS1,101929163,,TSBP1 and BTNL2 antisense RNA 1,,63,0.638,0.692,,0.1,,1,1,1,2014,2014
Crohn Disease,C0010346,LINC00993,101929520,,long intergenic non-protein coding RNA 993,,17,0.729,0.269,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,RABEPK,10244,Q7Z6M1,Rab9 effector protein with kelch motifs,,112,0.553,0.692,2.84E-11,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,GLYAT,10249,Q6IB77,glycine-N-acyltransferase,,27,0.729,0.462,3.64E-08,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,LINC02863,102723741,,long intergenic non-protein coding RNA 2863,,10,0.821,0.154,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CCR5AS,102724297,,CCR5 antisense RNA,,9,0.805,0.115,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,LANCL1,10314,O43813,LanC like 1,,113,0.552,0.692,1.08E-11,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,TNIP1,10318,Q15025,TNFAIP3 interacting protein 1,,93,0.564,0.769,0.47559,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,NOD1,10392,Q9Y239,nucleotide binding oligomerization domain containing 1,Enzyme,136,0.541,0.769,2.46E-18,0.1,,1,15,1,2002,2019
Crohn Disease,C0010346,LINC02471,105369734,,long intergenic non-protein coding RNA 2471,,4,0.861,0.154,,0.1,,1,1,1,2008,2008
Crohn Disease,C0010346,LINC02341,105370177,,long intergenic non-protein coding RNA 2341,,17,0.751,0.231,,0.1,,1,3,3,2010,2017
Crohn Disease,C0010346,TAB2-AS1,105378049,,TAB2 antisense RNA 1,,2,1,0.038,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,XACT,105463123,,X active specific transcript,,3,0.89,0.077,,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,RGS14,10636,O43566,regulator of G protein signaling 14,,24,0.751,0.346,0.0023174,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,CD226,10666,Q15762,CD226 molecule,,124,0.548,0.769,0.03921,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,LINC02128,107983964,,long intergenic non-protein coding RNA 2128,,3,1,0.038,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,LRRK2-DT,107984474,,LRRK2 divergent transcript,,6,0.861,0.154,,0.1,,1,1,1,2008,2008
Crohn Disease,C0010346,NCF4-AS1,107985578,,NCF4 antisense RNA 1,,5,1,0.038,,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,ADCY3,109,O60266,adenylate cyclase 3,,47,0.678,0.615,1.95E-11,0.1,,1,3,1,2015,2017
Crohn Disease,C0010346,EBNA1BP2,10969,Q99848,EBNA1 binding protein 2,,116,0.55,0.692,1.37E-09,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,ADAM30,11085,Q9UKF2,ADAM metallopeptidase domain 30,Enzyme,3,0.89,0.192,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,FGFR1OP,11116,O95684,FGFR1 oncogene partner,,40,0.656,0.577,0.00062816,0.1,,1,3,2,2008,2016
Crohn Disease,C0010346,CDC37,11140,Q16543,cell division cycle 37,Enzyme modulator,30,0.695,0.5,0.90925,0.1,,1,2,1,2015,2017
Crohn Disease,C0010346,PKIG,11142,Q9Y2B9,cAMP-dependent protein kinase inhibitor gamma,Enzyme modulator,9,0.78,0.269,0.51408,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,ATXN2L,11273,Q8WWM7,ataxin 2 like,Nucleic acid binding,30,0.695,0.423,1,0.1,,1,1,2,2015,2015
Crohn Disease,C0010346,ADCY7,113,P51828,adenylate cyclase 7,,38,0.656,0.462,9.48E-07,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,PARK7,11315,Q99497,Parkinsonism associated deglycase,Enzyme,161,0.535,0.808,0.75335,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,H3P28,115482699,,H3 histone pseudogene 28,,111,0.553,0.692,,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,RMI2,116028,Q96E14,RecQ mediated genome instability 2,,38,0.666,0.5,0.018953,0.1,,1,4,4,2012,2017
Crohn Disease,C0010346,ANTXR2,118429,P58335,ANTXR cell adhesion molecule 2,Receptor,143,0.568,0.808,0.086921,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CLN3,1201,Q13286,"CLN3 lysosomal/endosomal transmembrane protein, battenin",Transporter,120,0.572,0.692,1.33E-07,0.1,,1,1,1,2010,2010
Crohn Disease,C0010346,NXPE1,120400,Q8N323,neurexophilin and PC-esterase domain family member 1,,7,0.839,0.115,1.31E-12,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,NRAD1,121838,,non-coding RNA in the aldehyde dehydrogenase 1A pathway,,9,0.792,0.192,,0.1,,1,3,2,2008,2016
Crohn Disease,C0010346,RAVER1,125950,Q8IY67,"ribonucleoprotein, PTB binding 1",Nucleic acid binding,9,0.805,0.231,0.91101,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,ZNF831,128611,Q5JPB2,zinc finger protein 831,,21,0.792,0.192,7.87E-10,0.1,,1,3,1,2015,2017
Crohn Disease,C0010346,GALM,130589,Q96C23,galactose mutarotase,Enzyme,9,0.792,0.192,4.88E-11,0.1,,0.871,31,0,1998,2015
Crohn Disease,C0010346,CREM,1390,Q03060,cAMP responsive element modulator,,100,0.575,0.692,0.50878,0.1,,1,2,1,2016,2017
Crohn Disease,C0010346,LINC01620,140834,,long intergenic non-protein coding RNA 1620,,8,0.805,0.269,0.45157,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CSF2,1437,P04141,colony stimulating factor 2,Signaling,1028,0.33,0.962,0.83468,0.1,,1,14,0,2003,2019
Crohn Disease,C0010346,ADRA1D,146,P25100,adrenoceptor alpha 1D,G-protein coupled receptor,48,0.636,0.731,0.000040117,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,CDAN1,146059,Q8IWY9,codanin 1,,77,0.61,0.731,1.11E-12,0.1,,1,24,0,1992,2019
Crohn Disease,C0010346,CTLA4,1493,P16410,cytotoxic T-lymphocyte associated protein 4,,722,0.369,0.923,0.94085,0.1,,0.818,11,1,2002,2018
Crohn Disease,C0010346,HORMAD2,150280,Q8N7B1,HORMA domain containing 2,,22,0.716,0.385,0.000071353,0.1,,1,2,3,2015,2017
Crohn Disease,C0010346,CMC1,152100,Q7Z7K0,C-X9-C motif containing 1,,23,0.711,0.308,0.1073,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,SBSPON,157869,Q8IVN8,somatomedin B and thrombospondin type 1 domain containing,,5,0.931,0.077,6.71E-06,0.1,,1,1,1,2012,2012
Crohn Disease,C0010346,DAG1,1605,Q14118,dystroglycan 1,Receptor,230,0.498,0.808,0.98117,0.1,,1,2,2,2008,2015
