Disease,Ensembl Gene ID,Gene,Chromosome,Start Position,Stop Position,AE TWAS,Standard TWAS,DisGeNet GDA Score
SCZ,ENSG00000140374.15,ETFA,15,76215355,76311472,2.42E-02, NA,0.01
SCZ,ENSG00000142634.12,EFHD2,1,15409895,15430343, NA,3.53E-02,0.01
SCZ,ENSG00000159128.14,IFNGR2,21,33402896,33479348,2.31E-02, NA,0.01
SCZ,ENSG00000166913.12,YWHAB,20,44885676,44908532, NA,1.07E-02,0.01
SCZ,ENSG00000168214.20,RBPJ,4,26163455,26435131,7.01E-03,1.48E-03,0.01
SCZ,ENSG00000171862.10,PTEN,10,87863438,87971930, NA,9.94E-04,0.01
SCZ,ENSG00000197471.11,SPN,16,29662979,29670876,4.42E-02, NA,0.01
SCZ,ENSG00000204536.13,CCHCR1,6,31142439,31158238, NA,6.26E-03,0.01
SCZ,ENSG00000204574.12,ABCF1,6,30571376,30597179,2.93E-02,2.50E-02,0.01
SCZ,ENSG00000211896.7,IGHG1,14,105736343,105743071,3.96E-12, NA,0.01
SCZ,ENSG00000211897.8,IGHG3,14,105769102,105771405,2.95E-12, NA,0.01
SCZ,ENSG00000245532.7,NEAT1,11,65422774,65445540,1.81E-02,2.10E-02,0.01
SCZ,ENSG00000004059.10,ARF5,7,127588345,127591408,6.14E-03, NA,NA
SCZ,ENSG00000004455.16,AK2,1,33007940,33080996,1.20E-02,2.68E-03,NA
SCZ,ENSG00000005486.16,RHBDD2,7,75842602,75888926,1.80E-02,8.39E-03,NA
SCZ,ENSG00000006062.14,MAP3K14,17,45263392,45317040,8.47E-22,1.13E-12,NA
SCZ,ENSG00000006712.14,PAF1,19,39385852,39391195,8.14E-03,9.19E-03,NA
SCZ,ENSG00000008710.19,PKD1,16,2088721,2135898,3.25E-03,9.32E-04,NA
SCZ,ENSG00000011304.19,PTBP1,19,797075,812327,9.63E-03,2.52E-05,NA
SCZ,ENSG00000013523.9,ANGEL1,14,76786725,76826246,8.79E-05,7.73E-05,NA
SCZ,ENSG00000014824.13,SLC30A9,4,41990472,42090457,3.14E-02,3.70E-02,NA
SCZ,ENSG00000025156.12,HSF2,6,122399546,122433119,5.84E-03,1.23E-02,NA
SCZ,ENSG00000025770.18,NCAPH2,22,50508216,50523472, NA,3.85E-02,NA
SCZ,ENSG00000025800.13,KPNA6,1,32108038,32176375,1.68E-03,1.69E-03,NA
SCZ,ENSG00000027869.11,SH2D2A,1,156806243,156816862,2.08E-02,2.52E-02,NA
SCZ,ENSG00000033800.13,PIAS1,15,68054179,68198603, NA,4.39E-02,NA
SCZ,ENSG00000035687.9,ADSS,1,244408494,244452134,4.68E-02,1.23E-02,NA
SCZ,ENSG00000037637.10,FBXO42,1,16246839,16352454,3.98E-02,2.99E-02,NA
SCZ,ENSG00000041357.15,PSMA4,15,78540405,78552419,2.11E-02, NA,NA
SCZ,ENSG00000053900.10,ANAPC4,4,25377213,25418498,3.87E-02, NA,NA
SCZ,ENSG00000054118.13,THRAP3,1,36224416,36305357, NA,1.88E-02,NA
SCZ,ENSG00000055070.16,SZRD1,1,16352575,16398145,6.72E-03,3.01E-02,NA
SCZ,ENSG00000058453.16,CROCC,1,16921950,16972979,4.60E-02,2.89E-02,NA
SCZ,ENSG00000062582.13,MRPS24,7,43866558,43869893,8.79E-05,1.28E-04,NA
SCZ,ENSG00000063177.12,RPL18,19,48615328,48619271,2.43E-02,2.40E-03,NA
SCZ,ENSG00000063180.8,CA11,19,48637942,48646312,8.30E-03,3.39E-03,NA
SCZ,ENSG00000064115.10,TM7SF3,12,26973195,27014434, NA,4.19E-02,NA
SCZ,ENSG00000064999.13,ANKS1A,6,34889265,35091413, NA,4.94E-02,NA
SCZ,ENSG00000065268.10,WDR18,19,984271,998438, NA,3.59E-02,NA
SCZ,ENSG00000065357.19,DGKA,12,55927614,55954027,1.11E-03,1.84E-02,NA
SCZ,ENSG00000065457.10,ADAT1,16,75596981,75623300, NA,3.53E-02,NA
SCZ,ENSG00000066044.14,ELAVL1,19,7958579,8005659,1.60E-02,1.86E-02,NA
SCZ,ENSG00000067064.10,IDI1,10,1039908,1049170,4.72E-02, NA,NA
SCZ,ENSG00000068903.19,SIRT2,19,38878555,38899862,4.60E-02, NA,NA
SCZ,ENSG00000071794.15,HLTF,3,149030127,149086554, NA,2.53E-02,NA
SCZ,ENSG00000072210.18,ALDH3A2,17,19648136,19677598, NA,4.16E-02,NA
SCZ,ENSG00000072609.17,CHFR,12,132832357,132909186, NA,4.86E-11,NA
SCZ,ENSG00000073969.18,NSF,17,46590669,46757464, NA,1.35E-10,NA
SCZ,ENSG00000075218.18,GTSE1,22,46296741,46330810, NA,6.18E-03,NA
SCZ,ENSG00000075399.13,VPS9D1,16,89707134,89720984,9.57E-03, NA,NA
SCZ,ENSG00000075856.11,SART3,12,108522580,108561400,4.86E-02,3.53E-02,NA
SCZ,ENSG00000076248.10,UNG,12,109097574,109110992, NA,3.17E-02,NA
SCZ,ENSG00000077235.17,GTF3C1,16,27459555,27549913,1.49E-03,1.22E-03,NA
SCZ,ENSG00000077454.15,LRCH4,7,100574011,100586153,1.85E-02, NA,NA
SCZ,ENSG00000077684.15,JADE1,4,128809623,128875224, NA,1.69E-03,NA
SCZ,ENSG00000082996.19,RNF13,3,149812708,149962139, NA,8.42E-03,NA
SCZ,ENSG00000083844.10,ZNF264,19,57191500,57222846,4.74E-02,4.60E-02,NA
SCZ,ENSG00000084623.11,EIF3I,1,32222019,32231604,4.95E-02, NA,NA
SCZ,ENSG00000084652.15,TXLNA,1,32179686,32198285,2.12E-02,1.23E-02,NA
SCZ,ENSG00000085117.11,CD82,11,44564427,44620363, NA,4.45E-02,NA
SCZ,ENSG00000085365.17,SCAMP1,5,78360583,78479071,3.48E-02, NA,NA
SCZ,ENSG00000086065.13,CHMP5,9,33264879,33282069, NA,4.61E-02,NA
SCZ,ENSG00000087088.19,BAX,19,48954877,48961798,3.09E-02, NA,NA
SCZ,ENSG00000087206.16,UIMC1,5,176905005,177022602, NA,4.02E-02,NA
SCZ,ENSG00000087338.4,GMCL1,2,69829642,69881396,1.68E-03, NA,NA
SCZ,ENSG00000089012.14,SIRPG,20,1629152,1657779,2.76E-02, NA,NA
SCZ,ENSG00000089737.16,DDX24,14,94048931,94081245, NA,3.38E-02,NA
SCZ,ENSG00000090372.14,STRN4,19,46719507,46746994, NA,4.72E-02,NA
SCZ,ENSG00000090432.6,MUL1,1,20499448,20508161, NA,7.95E-03,NA
SCZ,ENSG00000090615.14,GOLGA3,12,132768909,132828858,2.45E-02, NA,NA
SCZ,ENSG00000090924.14,PLEKHG2,19,39412585,39428415,1.98E-03,8.61E-04,NA
SCZ,ENSG00000092929.11,UNC13D,17,75827225,75844717,5.85E-04, NA,NA
SCZ,ENSG00000099999.14,RNF215,22,30368811,30421771,4.60E-02, NA,NA
SCZ,ENSG00000100034.13,PPM1F,22,21919420,21940657, NA,5.84E-03,NA
SCZ,ENSG00000100221.10,JOSD1,22,38685543,38701556,4.29E-02, NA,NA
SCZ,ENSG00000100228.12,RAB36,22,23145326,23164350, NA,3.78E-02,NA
SCZ,ENSG00000100450.12,GZMH,14,24606480,24609699, NA,4.02E-02,NA
SCZ,ENSG00000100453.12,GZMB,14,24630954,24634267,2.94E-02, NA,NA
SCZ,ENSG00000101166.15,PRELID3B,20,59033145,59042909,4.20E-03,8.09E-03,NA
SCZ,ENSG00000101546.12,RBFA,18,80034358,80046397, NA,1.81E-02,NA
SCZ,ENSG00000103126.14,AXIN1,16,287440,352673, NA,4.28E-02,NA
SCZ,ENSG00000103248.18,MTHFSD,16,86530176,86555235,1.81E-02,4.32E-02,NA
SCZ,ENSG00000103496.14,STX4,16,31032889,31042975, NA,4.45E-02,NA
SCZ,ENSG00000104835.14,SARS2,19,38915266,38930547,1.27E-02,1.75E-02,NA
SCZ,ENSG00000104976.11,SNAPC2,19,7920316,7923250,4.15E-03,7.68E-03,NA
SCZ,ENSG00000104980.7,TIMM44,19,7926764,7943920,3.25E-02,3.81E-02,NA
SCZ,ENSG00000105193.8,RPS16,19,39433207,39435948,2.58E-03,1.08E-03,NA
SCZ,ENSG00000105197.10,TIMM50,19,39480412,39493715,1.60E-02,1.74E-02,NA
SCZ,ENSG00000105202.8,FBL,19,39834458,39846414,1.23E-02,1.05E-03,NA
SCZ,ENSG00000105341.18,ATP5SL,19,41431318,41440717, NA,3.93E-02,NA
SCZ,ENSG00000105483.17,CARD8,19,48180770,48255946,1.81E-02,4.16E-02,NA
SCZ,ENSG00000105516.10,DBP,19,48630407,48637438,2.12E-02,3.93E-02,NA
SCZ,ENSG00000105568.17,PPP2R1A,19,52190039,52229207,2.99E-03,1.04E-03,NA
SCZ,ENSG00000106400.11,ZNHIT1,7,101217674,101224190,4.03E-02, NA,NA
SCZ,ENSG00000107854.5,TNKS2,10,91798312,91865276,3.72E-03,4.94E-02,NA
SCZ,ENSG00000107862.4,GBF1,10,102245532,102382899, NA,4.93E-02,NA
SCZ,ENSG00000107872.12,FBXL15,10,102419189,102423136,4.91E-03,9.06E-03,NA
SCZ,ENSG00000107874.10,CUEDC2,10,102423245,102432661,1.22E-02,1.33E-02,NA
SCZ,ENSG00000108091.10,CCDC6,10,59788763,59906656,2.76E-02, NA,NA
SCZ,ENSG00000108883.12,EFTUD2,17,44849943,44899662,4.16E-09,3.05E-10,NA
SCZ,ENSG00000109323.8,MANBA,4,102631893,102760994,1.11E-03,1.99E-03,NA
SCZ,ENSG00000109332.19,UBE2D3,4,102794383,102868896,2.11E-04, NA,NA
SCZ,ENSG00000109458.8,GAB1,4,143336762,143474568, NA,4.19E-02,NA
SCZ,ENSG00000109787.12,KLF3,4,38680587,38701042,3.36E-02, NA,NA
SCZ,ENSG00000110080.18,ST3GAL4,11,126355640,126440344,3.41E-02, NA,NA
SCZ,ENSG00000110200.8,ANAPC15,11,72106378,72112780, NA,3.39E-03,NA
SCZ,ENSG00000110315.6,RNF141,11,10511678,10541230, NA,4.28E-02,NA
SCZ,ENSG00000110321.16,EIF4G2,11,10797050,10809110, NA,9.94E-04,NA
SCZ,ENSG00000110367.11,DDX6,11,118747766,118791147, NA,2.16E-02,NA
SCZ,ENSG00000110395.6,CBL,11,119206276,119313926, NA,1.86E-02,NA
SCZ,ENSG00000110756.17,HPS5,11,18278668,18322198,3.74E-02, NA,NA
SCZ,ENSG00000110768.11,GTF2H1,11,18322295,18367044,8.58E-03, NA,NA
SCZ,ENSG00000111602.11,TIMELESS,12,56416373,56449403,2.32E-06,3.38E-08,NA
SCZ,ENSG00000112659.13,CUL9,6,43182175,43224587, NA,4.39E-02,NA
SCZ,ENSG00000112787.12,FBRSL1,12,132489551,132585188,1.81E-02, NA,NA
SCZ,ENSG00000113240.12,CLK4,5,178602664,178627114,2.76E-02, NA,NA
SCZ,ENSG00000113845.9,TIMMDC1,3,119498532,119524292,2.42E-02, NA,NA
SCZ,ENSG00000114316.12,USP4,3,49277910,49340712, NA,2.89E-02,NA
SCZ,ENSG00000114353.16,GNAI2,3,50226292,50259355, NA,4.45E-02,NA
SCZ,ENSG00000114745.13,GORASP1,3,39096672,39108363, NA,3.18E-02,NA
SCZ,ENSG00000114853.13,ZBTB47,3,42653684,42665854, NA,4.93E-02,NA
SCZ,ENSG00000115464.14,USP34,2,61192901,61470769, NA,4.16E-02,NA
SCZ,ENSG00000115484.14,CCT4,2,61868089,61888723,4.04E-02,4.85E-02,NA
SCZ,ENSG00000115504.14,EHBP1,2,62673851,63046481,1.78E-02,2.75E-02,NA
SCZ,ENSG00000116406.18,EDEM3,1,184690231,184754913, NA,1.91E-02,NA
SCZ,ENSG00000116459.10,ATP5F1,1,111448892,111462773,9.71E-03, NA,NA
SCZ,ENSG00000116497.17,S100PBP,1,32816767,32858879,3.53E-02, NA,NA
SCZ,ENSG00000116514.16,RNF19B,1,32936445,32964685, NA,6.77E-03,NA
SCZ,ENSG00000116525.13,TRIM62,1,33145402,33182059,1.57E-04,4.16E-04,NA
SCZ,ENSG00000116871.15,MAP7D1,1,36155579,36180849, NA,7.95E-03,NA
SCZ,ENSG00000117410.13,ATP6V0B,1,43974487,43978295, NA,2.50E-02,NA
SCZ,ENSG00000117593.9,DARS2,1,173824503,173858546,3.94E-02,3.17E-02,NA
SCZ,ENSG00000117751.17,PPP1R8,1,27830778,27851676, NA,2.68E-03,NA
SCZ,ENSG00000119318.12,RAD23B,9,107283137,107332194,5.69E-13,8.65E-12,NA
SCZ,ENSG00000119559.15,C19orf25,19,1461154,1479556,1.79E-02, NA,NA
SCZ,ENSG00000120029.12,C10orf76,10,101845599,102056193,1.28E-02,5.92E-03,NA
SCZ,ENSG00000120071.13,KANSL1,17,46029916,46225389, NA,3.71E-11,NA
SCZ,ENSG00000120616.15,EPC1,10,32267751,32378798, NA,4.93E-02,NA
SCZ,ENSG00000121774.17,KHDRBS1,1,32013829,32060850,1.11E-03,1.69E-03,NA
SCZ,ENSG00000121775.17,TMEM39B,1,32072031,32102866,1.79E-02,3.15E-02,NA
SCZ,ENSG00000121851.12,POLR3GL,1,145964703,145978848, NA,4.02E-02,NA
SCZ,ENSG00000122042.9,UBL3,13,29764371,29850684, NA,3.24E-02,NA
SCZ,ENSG00000122257.18,RBBP6,16,24537693,24572863,1.89E-02, NA,NA
SCZ,ENSG00000123352.17,SPATS2,12,49366584,49527424,1.81E-02,3.17E-02,NA
SCZ,ENSG00000123607.14,TTC21B,2,165857475,165953843,4.90E-02,3.57E-02,NA
SCZ,ENSG00000124160.11,NCOA5,20,46060985,46089952,4.60E-02, NA,NA
SCZ,ENSG00000124209.3,RAB22A,20,58309696,58367507, NA,7.51E-05,NA
SCZ,ENSG00000124222.22,STX16,20,58651253,58679526, NA,3.81E-02,NA
SCZ,ENSG00000124496.12,TRERF1,6,42224931,42452051,4.44E-03,6.46E-03,NA
SCZ,ENSG00000125735.10,TNFSF14,19,6661253,6670588,3.26E-02, NA,NA
SCZ,ENSG00000126453.9,BCL2L12,19,49665876,49673916,1.40E-02,6.46E-03,NA
SCZ,ENSG00000126522.16,ASL,7,66075798,66093558,4.09E-02,4.94E-02,NA
SCZ,ENSG00000127452.8,FBXL12,19,9810267,9827816, NA,1.27E-02,NA
SCZ,ENSG00000127774.6,EMC6,17,3668815,3669668,4.50E-02, NA,NA
SCZ,ENSG00000127948.15,POR,7,75899200,75986836, NA,1.23E-03,NA
SCZ,ENSG00000129696.12,TTI2,8,33473423,33513601,4.90E-02, NA,NA
SCZ,ENSG00000130254.11,SAFB2,19,5586999,5624046,4.42E-02, NA,NA
SCZ,ENSG00000130758.7,MAP3K10,19,40191744,40215575,2.14E-02,4.16E-02,NA
SCZ,ENSG00000131508.15,UBE2D2,5,139526431,139628433,9.63E-03,4.02E-02,NA
SCZ,ENSG00000131626.16,PPFIA1,11,70270700,70384403, NA,1.65E-03,NA
SCZ,ENSG00000131653.12,TRAF7,16,2155698,2177179,2.12E-02,4.51E-02,NA
SCZ,ENSG00000131747.14,TOP2A,17,40388516,40417950,4.82E-05, NA,NA
SCZ,ENSG00000132768.13,DPH2,1,43970000,43973369,4.60E-02, NA,NA
SCZ,ENSG00000133812.15,SBF2,11,9778667,10294207, NA,6.73E-07,NA
SCZ,ENSG00000134056.11,MRPS36,5,69217760,69230129,4.21E-02, NA,NA
SCZ,ENSG00000134684.10,YARS,1,32775237,32818153,1.61E-02,2.32E-02,NA
SCZ,ENSG00000134686.18,PHC2,1,33323623,33431052, NA,4.45E-02,NA
SCZ,ENSG00000134830.5,C5AR2,19,47332147,47347327, NA,1.92E-02,NA
SCZ,ENSG00000135316.17,SYNCRIP,6,85607785,85643792,3.09E-02,4.95E-02,NA
SCZ,ENSG00000135469.13,COQ10A,12,56266858,56270966,2.76E-05,2.77E-04,NA
SCZ,ENSG00000135473.14,PAN2,12,56316337,56334053, NA,2.41E-02,NA
SCZ,ENSG00000136044.11,APPL2,12,105173296,105236238,8.29E-03, NA,NA
SCZ,ENSG00000136048.13,DRAM1,12,101877351,102012130, NA,2.96E-02,NA
SCZ,ENSG00000136051.13,WASHC4,12,105107324,105169134,3.34E-02, NA,NA
SCZ,ENSG00000136448.11,NMT1,17,45051662,45108966,2.01E-02,4.45E-02,NA
SCZ,ENSG00000136699.19,SMPD4,2,130151392,130182626, NA,1.86E-02,NA
SCZ,ENSG00000136710.9,CCDC115,2,130338241,130342224,2.12E-02,4.16E-02,NA
SCZ,ENSG00000136997.16,MYC,8,127735434,127741434,2.94E-02,3.92E-02,NA
SCZ,ENSG00000137100.15,DCTN3,9,34613545,34620523,2.43E-02,2.63E-02,NA
SCZ,ENSG00000137310.11,TCF19,6,31158542,31164215, NA,4.20E-02,NA
SCZ,ENSG00000137337.14,MDC1,6,30699807,30717889, NA,4.45E-02,NA
SCZ,ENSG00000137497.17,NUMA1,11,72003887,72080330,2.80E-05,1.17E-04,NA
SCZ,ENSG00000137522.17,RNF121,11,71928701,71997597,1.30E-05,4.21E-06,NA
SCZ,ENSG00000138801.8,PAPSS1,4,107590276,107720452,1.46E-16, NA,NA
SCZ,ENSG00000139278.9,GLIPR1,12,75480680,75503853,3.41E-02, NA,NA
SCZ,ENSG00000139613.11,SMARCC2,12,56163497,56189567,2.87E-02, NA,NA
SCZ,ENSG00000139641.12,ESYT1,12,56128056,56144671,1.12E-05,8.83E-06,NA
SCZ,ENSG00000139645.9,ANKRD52,12,56237847,56258391,2.12E-02, NA,NA
SCZ,ENSG00000139746.15,RBM26,13,79311824,79406221,4.50E-06, NA,NA
SCZ,ENSG00000140332.15,TLE3,15,70047790,70098176, NA,2.78E-02,NA
SCZ,ENSG00000140350.15,ANP32A,15,68778535,68820895, NA,1.04E-02,NA
SCZ,ENSG00000140526.17,ABHD2,15,89087459,89202360, NA,4.71E-03,NA
SCZ,ENSG00000141424.12,SLC39A6,18,36108532,36129385,2.01E-27, NA,NA
SCZ,ENSG00000141425.17,RPRD1A,18,35984387,36067576,1.15E-23, NA,NA
SCZ,ENSG00000141428.16,C18orf21,18,35972083,35979286,2.09E-21, NA,NA
SCZ,ENSG00000142002.16,DPP9,19,4675224,4724673,4.50E-02,3.02E-02,NA
SCZ,ENSG00000142166.12,IFNAR1,21,33324477,33359862,4.75E-02, NA,NA
SCZ,ENSG00000143702.15,CEP170,1,243124428,243255348,3.28E-03, NA,NA
SCZ,ENSG00000144118.13,RALB,2,120240064,120294713, NA,4.23E-02,NA
SCZ,ENSG00000144320.13,LNPK,2,175923892,176002839,4.15E-03, NA,NA
SCZ,ENSG00000144848.10,ATG3,3,112532509,112562009,2.76E-02, NA,NA
SCZ,ENSG00000145348.16,TBCK,4,106041599,106321495, NA,4.16E-02,NA
SCZ,ENSG00000145675.14,PIK3R1,5,68215720,68301821,2.56E-02,2.07E-02,NA
SCZ,ENSG00000146112.11,PPP1R18,6,30676389,30687895,2.66E-02, NA,NA
SCZ,ENSG00000146223.14,RPL7L1,6,42879618,42889925,4.90E-02, NA,NA
SCZ,ENSG00000146757.13,ZNF92,7,65373799,65401135,8.24E-04,3.08E-03,NA
SCZ,ENSG00000146826.16,C7orf43,7,100154420,100158715,4.75E-02, NA,NA
SCZ,ENSG00000146828.17,SLC12A9,7,100826820,100867008,3.05E-02, NA,NA
SCZ,ENSG00000148362.10,C9orf142,9,136992418,136993976,3.61E-02,4.05E-02,NA
SCZ,ENSG00000148572.15,NRBF2,10,63133247,63155031,2.55E-02,1.47E-04,NA
SCZ,ENSG00000148840.10,PPRC1,10,102132994,102150331, NA,3.78E-02,NA
SCZ,ENSG00000149357.9,LAMTOR1,11,72085895,72103387, NA,1.51E-02,NA
SCZ,ENSG00000149428.18,HYOU1,11,119044746,119057202,2.76E-02, NA,NA
SCZ,ENSG00000150977.10,RILPL2,12,123410683,123436717,2.27E-02, NA,NA
SCZ,ENSG00000151116.16,UEVLD,11,18529609,18588747,1.81E-02, NA,NA
SCZ,ENSG00000151233.10,GXYLT1,12,42081845,42144879,6.06E-04, NA,NA
SCZ,ENSG00000151414.14,NEK7,1,198156963,198322420, NA,3.81E-02,NA
SCZ,ENSG00000151445.15,VIPAS39,14,77426675,77457869,1.36E-02,2.99E-02,NA
SCZ,ENSG00000151466.11,SCLT1,4,128864921,129093316, NA,2.68E-03,NA
SCZ,ENSG00000151470.12,C4orf33,4,129093608,129116640, NA,2.68E-03,NA
SCZ,ENSG00000151883.17,PARP8,5,50665899,50846522, NA,1.23E-02,NA
SCZ,ENSG00000152193.7,RNF219,13,78614291,78659179,4.03E-02,6.32E-05,NA
SCZ,ENSG00000152234.15,ATP5A1,18,46080248,46104331,3.72E-03,1.26E-02,NA
SCZ,ENSG00000152242.10,C18orf25,18,46173553,46266991,1.09E-12, NA,NA
SCZ,ENSG00000152942.18,RAD17,5,69370014,69414801,2.83E-04,4.46E-02,NA
SCZ,ENSG00000153044.9,CENPH,5,69189548,69210357, NA,4.71E-02,NA
SCZ,ENSG00000153094.22,BCL2L11,2,111119378,111168447, NA,2.32E-02,NA
SCZ,ENSG00000153207.14,AHCTF1,1,246839098,246931978,4.12E-02, NA,NA
SCZ,ENSG00000153391.15,INO80C,18,35452230,35497991,3.95E-02, NA,NA
SCZ,ENSG00000153936.16,HS2ST1,1,86914648,87109998,9.18E-03, NA,NA
SCZ,ENSG00000154719.13,MRPL39,21,25585656,25607517,4.12E-02,3.76E-02,NA
SCZ,ENSG00000155329.11,ZCCHC10,5,132996985,133026604,9.78E-04, NA,NA
SCZ,ENSG00000155868.7,MED7,5,157137412,157159019, NA,2.78E-02,NA
SCZ,ENSG00000156735.10,BAG4,8,38176731,38213301,1.64E-02, NA,NA
SCZ,ENSG00000156860.15,FBRS,16,30658431,30670814,2.12E-02,3.73E-02,NA
SCZ,ENSG00000157911.9,PEX10,1,2405445,2413797,4.62E-03,4.16E-02,NA
SCZ,ENSG00000157916.19,RER1,1,2391775,2403963,1.76E-05, NA,NA
SCZ,ENSG00000157933.9,SKI,1,2228695,2310119,4.28E-07,2.88E-02,NA
SCZ,ENSG00000159110.19,IFNAR2,21,33229901,33263872,2.11E-02, NA,NA
SCZ,ENSG00000160055.19,TMEM234,1,32214477,32222357,1.36E-02,2.41E-02,NA
SCZ,ENSG00000160058.18,BSDC1,1,32365103,32394448, NA,5.51E-03,NA
SCZ,ENSG00000160087.20,UBE2J2,1,1253909,1273885,3.59E-02,2.32E-02,NA
SCZ,ENSG00000160094.14,ZNF362,1,33256545,33300719,1.28E-02,4.78E-03,NA
SCZ,ENSG00000160199.14,PKNOX1,21,42974510,43033931, NA,1.51E-02,NA
SCZ,ENSG00000161791.13,FMNL3,12,49636499,49708165, NA,3.72E-02,NA
SCZ,ENSG00000162241.12,SLC25A45,11,65375192,65383701,3.09E-02, NA,NA
SCZ,ENSG00000162521.18,RBBP4,1,32651142,32686211,4.62E-03,3.00E-03,NA
