Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
"Diabetes Mellitus, Insulin-Dependent",C0011854,MICA,100507436,Q29983,MHC class I polypeptide-related sequence A,,248,0.473,0.846,0.0049697,0.2,,0.893,28,1,1995,2012
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD226,10666,Q15762,CD226 molecule,,124,0.548,0.769,0.03921,0.2,,1,14,3,2007,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,IRAK3,11213,Q9Y616,interleukin 1 receptor associated kinase 3,Kinase,59,0.615,0.615,5.3092E-21,0.2,,1,1,0,2014,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,ADRB1,153,P08588,adrenoceptor beta 1,G-protein coupled receptor,130,0.555,0.769,2.8786E-06,0.2,,1,1,0,2011,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,AGER,177,Q15109,advanced glycosylation end-product specific receptor,Receptor,450,0.42,0.885,6.3528E-16,0.2,,1,11,3,1999,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,DUSP1,1843,P28562,dual specificity phosphatase 1,,214,0.491,0.808,0.010151,0.2,,1,1,0,1995,1995
"Diabetes Mellitus, Insulin-Dependent",C0011854,E2F1,1869,Q01094,E2F transcription factor 1,Nucleic acid binding,324,0.441,0.846,0.9877,0.2,,1,1,0,2004,2004
"Diabetes Mellitus, Insulin-Dependent",C0011854,ERBB3,2065,P21860,erb-b2 receptor tyrosine kinase 3,Kinase,318,0.448,0.808,1.7003E-15,0.2,,1,19,2,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SENP1,29843,Q9P0U3,SUMO specific peptidase 1,Enzyme,79,0.593,0.654,0.99358,0.2,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-A,3105,P04439,"major histocompatibility complex, class I, A",,672,0.37,0.846,0.0013299,0.2,,0.946,56,2,1980,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-B,3106,P01889,"major histocompatibility complex, class I, B",,706,0.379,0.885,0.000038642,0.2,,0.964,28,18,1982,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DPB1,3115,P04440,"major histocompatibility complex, class II, DP beta 1",Immune response,324,0.453,0.923,5.3254E-10,0.2,,0.882,34,1,1990,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DQA2,3118,P01906,"major histocompatibility complex, class II, DQ alpha 2",Immune response,58,0.617,0.769,0.000010089,0.2,,1,20,5,1986,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DQB2,3120,P05538,"major histocompatibility complex, class II, DQ beta 2",Immune response,91,0.573,0.731,0.042679,0.2,,1,24,8,1990,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,IFNGR2,3460,P38484,interferon gamma receptor 2,Receptor,71,0.597,0.577,0.95281,0.2,,1,2,0,2000,2001
"Diabetes Mellitus, Insulin-Dependent",C0011854,LTA,4049,P01374,lymphotoxin alpha,Signaling,353,0.434,0.885,0.19685,0.2,,0.929,14,6,1991,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,UGT1A1,54658,P22309,UDP glucuronosyltransferase family 1 member A1,,302,0.464,0.769,3.2577E-06,0.2,,1,1,0,1998,1998
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTPN2,5771,P17706,protein tyrosine phosphatase non-receptor type 2,,134,0.538,0.692,0.99953,0.2,,0.95,20,3,2008,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CFB,629,P00751,complement factor B,,139,0.532,0.769,4.6696E-16,0.2,,0.917,12,2,1979,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,IFIH1,64135,Q9BYX4,interferon induced with helicase C domain 1,,319,0.471,0.808,6.9819E-44,0.2,,0.927,55,6,2006,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,TAP1,6890,Q03518,"transporter 1, ATP binding cassette subfamily B member",Transporter,181,0.5,0.808,5.3431E-06,0.2,,0.938,16,3,1993,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,TAP2,6891,Q03519,"transporter 2, ATP binding cassette subfamily B member",Transporter,155,0.517,0.808,6.8911E-11,0.2,,0.8,20,12,1993,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,VAV1,7409,P15498,vav guanine nucleotide exchange factor 1,,103,0.556,0.769,0.99993,0.2,,1,1,0,1999,1999
"Diabetes Mellitus, Insulin-Dependent",C0011854,YY1,7528,P25490,YY1 transcription factor,Transcription factor,245,0.481,0.808,0.9938,0.2,,1,2,0,2004,2005
"Diabetes Mellitus, Insulin-Dependent",C0011854,CBL,867,P22681,Cbl proto-oncogene,Enzyme,172,0.527,0.769,0.00060921,0.2,,1,1,0,2006,2006
"Diabetes Mellitus, Insulin-Dependent",C0011854,AIRE,326,O43918,autoimmune regulator,,175,0.516,0.808,4.0468E-12,0.19,,0.778,9,1,1999,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,INS-IGF2,723961,F8WCM5,INS-IGF2 readthrough,,51,0.633,0.5,0.055811,0.17,,0.923,13,7,1991,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,MMP2,4313,P08253,matrix metallopeptidase 2,Enzyme,1021,0.333,0.923,0.83878,0.16,,1,6,0,2002,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,UBASH3A,53347,P57075,ubiquitin associated and SH3 domain containing A,,43,0.638,0.538,1.0489E-10,0.16,,1,11,6,2009,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,COX2,4513,P00403,cytochrome c oxidase subunit II,Enzyme,875,0.352,0.962,,0.15,,1,5,0,1999,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,RPS26,6231,P62854,ribosomal protein S26,Nucleic acid binding,38,0.716,0.538,0.84833,0.15,,1,7,3,2008,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,ABO,28,P16442,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",Enzyme,443,0.427,0.885,,0.14,,1,5,1,1984,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DPA1,3113,P20036,"major histocompatibility complex, class II, DP alpha 1",Immune response,139,0.552,0.846,0.0000025,0.14,,1,5,1,1992,2010
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DRA,3122,P01903,"major histocompatibility complex, class II, DR alpha",Immune response,92,0.581,0.769,0.51949,0.14,,1,6,5,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,STAT1,6772,P42224,signal transducer and activator of transcription 1,Nucleic acid binding,531,0.399,0.885,0.99999,0.14,,1,4,0,2001,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TCF19,6941,Q9Y242,transcription factor 19,,33,0.674,0.692,0.00093832,0.14,,1,5,2,2007,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL23R,149233,Q5VWK5,interleukin 23 receptor,Signaling,306,0.466,0.769,0.00055961,0.13,,1,4,4,2007,2016
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DMB,3109,P28068,"major histocompatibility complex, class II, DM beta",Immune response,41,0.638,0.615,0.0024627,0.13,,1,4,1,1996,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,GSDMB,55876,Q8TAX9,gasdermin B,,44,0.67,0.5,3.3446E-07,0.13,,1,4,1,2009,2016
"Diabetes Mellitus, Insulin-Dependent",C0011854,APOM,55937,O95445,apolipoprotein M,,82,0.59,0.769,0.00095567,0.13,,1,4,3,2007,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,PSMB8,5696,P28062,proteasome 20S subunit beta 8,,165,0.533,0.808,0.021795,0.13,,1,4,3,1995,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,PSMB9,5698,P28065,proteasome 20S subunit beta 9,,167,0.514,0.808,0.0027499,0.13,,1,4,5,1994,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,TH,7054,P07101,tyrosine hydroxylase,,321,0.462,0.885,1.6878E-06,0.13,,0.75,4,4,1995,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,EIF2AK3,9451,Q9NZJ5,eukaryotic translation initiation factor 2 alpha kinase 3,Kinase,231,0.501,0.808,0.0027603,0.13,,1,3,0,2004,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,FUT2,2524,Q10981,fucosyltransferase 2,Enzyme,126,0.552,0.731,5.3218E-14,0.12,,1,4,3,2011,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,GATA3,2625,P23771,GATA binding protein 3,,429,0.415,0.846,0.89887,0.12,,1,3,1,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HCG18,414777,,HLA complex group 18,,27,0.722,0.538,,0.12,,1,3,2,2007,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,MMP14,4323,P50281,matrix metallopeptidase 14,Enzyme,340,0.447,0.769,0.99522,0.12,,1,2,0,2008,2016
"Diabetes Mellitus, Insulin-Dependent",C0011854,RNLS,55328,Q5VYX0,"renalase, FAD dependent amine oxidase",,32,0.678,0.423,0.000003796,0.12,,1,3,2,2012,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,SIRPG,55423,Q9P1W8,signal regulatory protein gamma,Signaling,8,0.821,0.231,3.476E-15,0.12,,1,4,2,2009,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,BTNL2,56244,Q9UIR0,butyrophilin like 2,Enzyme modulator,145,0.546,0.808,8.5607E-11,0.12,,1,4,7,2005,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SUOX,6821,P51687,sulfite oxidase,,67,0.638,0.615,9.399E-07,0.12,,1,3,2,2011,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,PRRC2A,7916,P48634,proline rich coiled-coil 2A,Enzyme,45,0.656,0.654,1,0.12,,0.667,3,4,1999,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,DDX39B,7919,Q13838,DExD-box helicase 39B,,50,0.641,0.808,0.99725,0.12,,1,3,1,2003,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,NAA25,80018,Q14CX7,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Enzyme,81,0.603,0.692,1,0.12,,1,5,1,2007,2010
"Diabetes Mellitus, Insulin-Dependent",C0011854,MPIG6B,80739,O95866,megakaryocyte and platelet inhibitory receptor G6b,,30,0.695,0.5,1.0837E-06,0.12,,1,3,3,2007,2016
"Diabetes Mellitus, Insulin-Dependent",C0011854,RASGRP1,10125,O95267,RAS guanyl releasing protein 1,Enzyme modulator,110,0.572,0.731,0.96554,0.11,,1,2,1,2009,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,IKZF1,10320,Q13422,IKAROS family zinc finger 1,Transcription factor,165,0.533,0.769,0.9986,0.11,,0.5,2,1,2011,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,CFTR,1080,P13569,CF transmembrane conductance regulator,Ion channel,476,0.424,0.885,2.1735E-58,0.11,,1,1,0,2013,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,CTRC,11330,Q99895,chymotrypsin C,,56,0.653,0.5,1.2851E-12,0.11,,1,1,0,2013,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,MAPK14,1432,Q16539,mitogen-activated protein kinase 14,Kinase,626,0.379,0.923,0.37466,0.11,,1,2,2,2016,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,CUX2,23316,O14529,cut like homeobox 2,Transcription factor,87,0.644,0.5,1,0.11,,1,1,1,2012,2012
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DMA,3108,P28067,"major histocompatibility complex, class II, DM alpha",Immune response,63,0.608,0.654,0.002381,0.11,,1,2,2,1999,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DOB,3112,P13765,"major histocompatibility complex, class II, DO beta",Immune response,24,0.705,0.5,1.9197E-06,0.11,,1,2,9,2003,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,HSPA1L,3305,P34931,heat shock protein family A (Hsp70) member 1 like,,65,0.603,0.654,0.000001057,0.11,,1,2,1,1993,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,AFF3,3899,P51826,AF4/FMR2 family member 3,Transcription factor,77,0.623,0.692,0.99996,0.11,,1,2,1,2012,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,MICB,4277,Q29980,MHC class I polypeptide-related sequence B,,95,0.576,0.731,0.000040609,0.11,,0.5,2,4,2007,2008
"Diabetes Mellitus, Insulin-Dependent",C0011854,BCL2L15,440603,Q5TBC7,BCL2 like 15,,4,0.89,0.192,0.048246,0.11,,1,2,2,2009,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,MSH5,4439,O43196,mutS homolog 5,Nucleic acid binding,51,0.641,0.692,3.2035E-11,0.11,,1,2,2,2007,2009
